'Nevada','1167'
'Idaho','648'
'Wyoming','233'
'Colorado','1958'
'Montana','500'
'Texas','10587'
'New Mexico','816'
'Utah','798'
'California','14518'
'Alaska','311'
'Oregon','1697'
'Mississippi','1662'
'Rhode Island','419'
'Georgia','4401'
'Maryland','2519'
'Washington','2938'
'Virginia','3337'
'District of Columbia','240'
'West Virginia','1136'
'Tennessee','3102'
'Minnesota','2398'
'Oklahoma','1828'
'Florida','9869'
'Arkansas','1579'
'North Carolina','4291'
'Pennsylvania','6579'
'South Dakota','419'
'Kentucky','2424'
'Missouri','2952'
'Maine','659'
'South Carolina','2169'
'Kansas','1298'
'Alabama','2527'
'Vermont','294'
'Hawaii','706'
'Ohio','5742'
'North Dakota','356'
'New Jersey','4283'
'Delaware','449'
'New Hampshire','577'
'Nebraska','912'
'New York','8987'
'Iowa','1574'
'Illinois','6073'
'Wisconsin','2460'
'Indiana','3142'
'Louisiana','2394'
'Massachusetts','2709'
'Arizona','2674'
'Michigan','4607'
'Connecticut','1507'
